org,process,process_name,include
ADC,SVSC,Second View Saw Cutting,FALSE
ATL,SVSC,Second View Saw Cutting,FALSE
WIE,SVSC,Second View Saw Cutting,FALSE
ENA,SVSC,Second View Saw Cutting,FALSE
ENT,SVSC,Second View Saw Cutting,FALSE
LOS,TP1,T&P,FALSE
STO,TP1,T&P,FALSE
CHA,TP1,T&P,FALSE
CLE,TP1,T&P,FALSE
HAI,TP1,T&P,TRUE
JVL,TP1,T&P,FALSE
DAL,TP1,T&P,FALSE
PHI,TP1,T&P,FALSE
TOR,TP1,T&P,FALSE
WIN,TP1,T&P,FALSE
SGP,TP1,T&P,FALSE
MXQ,TP1,T&P,FALSE
MTY,TP1,T&P,FALSE
MXM,TP1,T&P,FALSE
MCH,TP1,T&P,FALSE
ASC,TP1,T&P,FALSE
ADC,TP1,T&P,FALSE
ATL,TP1,T&P,FALSE
WIE,TP1,T&P,FALSE
ENA,TP1,T&P,FALSE
ENT,TP1,T&P,FALSE
LOS,TP2,T&P,FALSE
STO,TP2,T&P,FALSE
CHA,TP2,T&P,FALSE
CLE,TP2,T&P,FALSE
HAI,TP2,T&P,TRUE
JVL,TP2,T&P,FALSE
DAL,TP2,T&P,FALSE
PHI,TP2,T&P,FALSE
TOR,TP2,T&P,FALSE
WIN,TP2,T&P,FALSE
SGP,TP2,T&P,FALSE
MXQ,TP2,T&P,FALSE
MTY,TP2,T&P,FALSE
MXM,TP2,T&P,FALSE
MCH,TP2,T&P,FALSE
ASC,TP2,T&P,FALSE
ADC,TP2,T&P,FALSE
ATL,TP2,T&P,FALSE
WIE,TP2,T&P,FALSE
ENA,TP2,T&P,FALSE
ENT,TP2,T&P,FALSE
LOS,TP3,T&P,FALSE
STO,TP3,T&P,FALSE
CHA,TP3,T&P,FALSE
CLE,TP3,T&P,FALSE
HAI,TP3,T&P,TRUE
JVL,TP3,T&P,FALSE
DAL,TP3,T&P,FALSE
PHI,TP3,T&P,FALSE
TOR,TP3,T&P,FALSE
WIN,TP3,T&P,FALSE
SGP,TP3,T&P,FALSE
MXQ,TP3,T&P,FALSE
MTY,TP3,T&P,FALSE
MXM,TP3,T&P,FALSE
MCH,TP3,T&P,FALSE
ASC,TP3,T&P,FALSE
ADC,TP3,T&P,FALSE
ATL,TP3,T&P,FALSE
WIE,TP3,T&P,FALSE
ENA,TP3,T&P,FALSE
ENT,TP3,T&P,FALSE
LOS,TP9,T&P,FALSE
STO,TP9,T&P,FALSE
CHA,TP9,T&P,FALSE
CLE,TP9,T&P,FALSE
HAI,TP9,T&P,TRUE
JVL,TP9,T&P,FALSE
DAL,TP9,T&P,FALSE
PHI,TP9,T&P,FALSE
TOR,TP9,T&P,FALSE
WIN,TP9,T&P,FALSE
SGP,TP9,T&P,FALSE
MXQ,TP9,T&P,FALSE
MTY,TP9,T&P,FALSE
MXM,TP9,T&P,FALSE
MCH,TP9,T&P,FALSE
ASC,TP9,T&P,FALSE
ADC,TP9,T&P,FALSE
ATL,TP9,T&P,FALSE
WIE,TP9,T&P,FALSE
ENA,TP9,T&P,FALSE
ENT,TP9,T&P,FALSE
LOS,TRP,Trepanning,FALSE
STO,TRP,Trepanning,FALSE
CHA,TRP,Trepanning,FALSE
CLE,TRP,Trepanning,FALSE
HAI,TRP,Trepanning,TRUE
JVL,TRP,Trepanning,FALSE
DAL,TRP,Trepanning,FALSE
PHI,TRP,Trepanning,FALSE
TOR,TRP,Trepanning,TRUE
WIN,TRP,Trepanning,FALSE
SGP,TRP,Trepanning,FALSE
MXQ,TRP,Trepanning,FALSE
MTY,TRP,Trepanning,FALSE
MXM,TRP,Trepanning,FALSE
MCH,TRP,Trepanning,FALSE
ASC,TRP,Trepanning,FALSE
ADC,TRP,Trepanning,FALSE
ATL,TRP,Trepanning,FALSE
WIE,TRP,Trepanning,FALSE
ENA,TRP,Trepanning,FALSE
ENT,TRP,Trepanning,FALSE
LOS,TRP2,Small Lablond,FALSE
STO,TRP2,Small Lablond,FALSE
CHA,TRP2,Small Lablond,FALSE
CLE,TRP2,Small Lablond,FALSE
HAI,TRP2,Small Lablond,TRUE
JVL,TRP2,Small Lablond,FALSE
DAL,TRP2,Small Lablond,FALSE
PHI,TRP2,Small Lablond,FALSE
TOR,TRP2,Small Lablond,FALSE
WIN,TRP2,Small Lablond,FALSE
SGP,TRP2,Small Lablond,FALSE
MXQ,TRP2,Small Lablond,FALSE
MTY,TRP2,Small Lablond,FALSE
MXM,TRP2,Small Lablond,FALSE
MCH,TRP2,Small Lablond,FALSE
ASC,TRP2,Small Lablond,FALSE
ADC,TRP2,Small Lablond,FALSE
ATL,TRP2,Small Lablond,FALSE
WIE,TRP2,Small Lablond,FALSE
ENA,TRP2,Small Lablond,FALSE
ENT,TRP2,Small Lablond,FALSE
LOS,TRP3,Large Lablond,FALSE
STO,TRP3,Large Lablond,FALSE
CHA,TRP3,Large Lablond,FALSE
CLE,TRP3,Large Lablond,FALSE
HAI,TRP3,Large Lablond,TRUE
JVL,TRP3,Large Lablond,FALSE
DAL,TRP3,Large Lablond,FALSE
PHI,TRP3,Large Lablond,FALSE
TOR,TRP3,Large Lablond,FALSE
WIN,TRP3,Large Lablond,FALSE
SGP,TRP3,Large Lablond,FALSE
MXQ,TRP3,Large Lablond,FALSE
MTY,TRP3,Large Lablond,FALSE
MXM,TRP3,Large Lablond,FALSE
MCH,TRP3,Large Lablond,FALSE
ASC,TRP3,Large Lablond,FALSE
ADC,TRP3,Large Lablond,FALSE
ATL,TRP3,Large Lablond,FALSE
WIE,TRP3,Large Lablond,FALSE
ENA,TRP3,Large Lablond,FALSE
ENT,TRP3,Large Lablond,FALSE
LOS,USP,U.S. Processing,FALSE
STO,USP,U.S. Processing,FALSE
CHA,USP,U.S. Processing,FALSE
CLE,USP,U.S. Processing,FALSE
HAI,USP,U.S. Processing,TRUE
JVL,USP,U.S. Processing,FALSE
DAL,USP,U.S. Processing,FALSE
PHI,USP,U.S. Processing,FALSE
TOR,USP,U.S. Processing,FALSE
WIN,USP,U.S. Processing,FALSE
SGP,USP,U.S. Processing,FALSE
MXQ,USP,U.S. Processing,FALSE
MTY,USP,U.S. Processing,FALSE
MXM,USP,U.S. Processing,FALSE
MCH,USP,U.S. Processing,FALSE
ASC,USP,U.S. Processing,FALSE
ADC,USP,U.S. Processing,FALSE
ATL,USP,U.S. Processing,FALSE
WIE,USP,U.S. Processing,FALSE
ENA,USP,U.S. Processing,FALSE
ENT,USP,U.S. Processing,FALSE
LOS,UST,Ultra Sonic Testing,FALSE
STO,UST,Ultra Sonic Testing,FALSE
CHA,UST,Ultra Sonic Testing,FALSE
CLE,UST,Ultra Sonic Testing,FALSE
HAI,UST,Ultra Sonic Testing,FALSE
JVL,UST,Ultra Sonic Testing,FALSE
DAL,UST,Ultra Sonic Testing,FALSE
PHI,UST,Ultra Sonic Testing,FALSE
TOR,UST,Ultra Sonic Testing,FALSE
WIN,UST,Ultra Sonic Testing,FALSE
SGP,UST,Ultra Sonic Testing,FALSE
MXQ,UST,Ultra Sonic Testing,FALSE
MTY,UST,Ultra Sonic Testing,FALSE
MXM,UST,Ultra Sonic Testing,FALSE
MCH,UST,Ultra Sonic Testing,FALSE
ASC,UST,Ultra Sonic Testing,FALSE
ADC,UST,Ultra Sonic Testing,FALSE
ATL,UST,Ultra Sonic Testing,FALSE
WIE,UST,Ultra Sonic Testing,FALSE
ENA,UST,Ultra Sonic Testing,FALSE
ENT,UST,Ultra Sonic Testing,FALSE
LOS,VF05,VF05 CNC Milling,FALSE
STO,VF05,VF05 CNC Milling,FALSE
CHA,VF05,VF05 CNC Milling,FALSE
CLE,VF05,VF05 CNC Milling,FALSE
HAI,VF05,VF05 CNC Milling,TRUE
JVL,VF05,VF05 CNC Milling,FALSE
DAL,VF05,VF05 CNC Milling,FALSE
PHI,VF05,VF05 CNC Milling,FALSE
TOR,VF05,VF05 CNC Milling,FALSE
WIN,VF05,VF05 CNC Milling,FALSE
SGP,VF05,VF05 CNC Milling,FALSE
MXQ,VF05,VF05 CNC Milling,FALSE
MTY,VF05,VF05 CNC Milling,FALSE
MXM,VF05,VF05 CNC Milling,FALSE
MCH,VF05,VF05 CNC Milling,FALSE
ASC,VF05,VF05 CNC Milling,FALSE
ADC,VF05,VF05 CNC Milling,FALSE
ATL,VF05,VF05 CNC Milling,FALSE
WIE,VF05,VF05 CNC Milling,FALSE
ENA,VF05,VF05 CNC Milling,FALSE
ENT,VF05,VF05 CNC Milling,FALSE
LOS,VF11,VF11 CNC Milling,FALSE
STO,VF11,VF11 CNC Milling,FALSE
CHA,VF11,VF11 CNC Milling,FALSE
CLE,VF11,VF11 CNC Milling,FALSE
HAI,VF11,VF11 CNC Milling,TRUE
JVL,VF11,VF11 CNC Milling,FALSE
DAL,VF11,VF11 CNC Milling,FALSE
PHI,VF11,VF11 CNC Milling,FALSE
TOR,VF11,VF11 CNC Milling,FALSE
WIN,VF11,VF11 CNC Milling,FALSE
SGP,VF11,VF11 CNC Milling,FALSE
MXQ,VF11,VF11 CNC Milling,FALSE
MTY,VF11,VF11 CNC Milling,FALSE
MXM,VF11,VF11 CNC Milling,FALSE
MCH,VF11,VF11 CNC Milling,FALSE
ASC,VF11,VF11 CNC Milling,FALSE
ADC,VF11,VF11 CNC Milling,FALSE
ATL,VF11,VF11 CNC Milling,FALSE
WIE,VF11,VF11 CNC Milling,FALSE
ENA,VF11,VF11 CNC Milling,FALSE
ENT,VF11,VF11 CNC Milling,FALSE
LOS,VPR,Vendor Processing,FALSE
STO,VPR,Vendor Processing,FALSE
CHA,VPR,Vendor Processing,FALSE
CLE,VPR,Vendor Processing,FALSE
HAI,VPR,Vendor Processing,TRUE
JVL,VPR,Vendor Processing,FALSE
DAL,VPR,Vendor Processing,FALSE
PHI,VPR,Vendor Processing,FALSE
TOR,VPR,Vendor Processing,FALSE
WIN,VPR,Vendor Processing,FALSE
SGP,VPR,Vendor Processing,FALSE
MXQ,VPR,Vendor Processing,FALSE
MTY,VPR,Vendor Processing,FALSE
MXM,VPR,Vendor Processing,FALSE
MCH,VPR,Vendor Processing,FALSE
ASC,VPR,Vendor Processing,FALSE
ADC,VPR,Vendor Processing,FALSE
ATL,VPR,Vendor Processing,FALSE
WIE,VPR,Vendor Processing,FALSE
ENA,VPR,Vendor Processing,FALSE
ENT,VPR,Vendor Processing,FALSE
LOS,WCAL,Will Call Pick Task,FALSE
STO,WCAL,Will Call Pick Task,FALSE
CHA,WCAL,Will Call Pick Task,FALSE
CLE,WCAL,Will Call Pick Task,FALSE
HAI,WCAL,Will Call Pick Task,TRUE
JVL,WCAL,Will Call Pick Task,FALSE
DAL,WCAL,Will Call Pick Task,FALSE
PHI,WCAL,Will Call Pick Task,FALSE
TOR,WCAL,Will Call Pick Task,FALSE
WIN,WCAL,Will Call Pick Task,FALSE
SGP,WCAL,Will Call Pick Task,FALSE
MXQ,WCAL,Will Call Pick Task,FALSE
MTY,WCAL,Will Call Pick Task,FALSE
MXM,WCAL,Will Call Pick Task,FALSE
MCH,WCAL,Will Call Pick Task,FALSE
ASC,WCAL,Will Call Pick Task,FALSE
ADC,WCAL,Will Call Pick Task,FALSE
ATL,WCAL,Will Call Pick Task,FALSE
WIE,WCAL,Will Call Pick Task,FALSE
ENA,WCAL,Will Call Pick Task,FALSE
ENT,WCAL,Will Call Pick Task,FALSE
LOS,WJC,Water Jet Cutting,TRUE
STO,WJC,Water Jet Cutting,TRUE
CHA,WJC,Water Jet Cutting,TRUE
CLE,WJC,Water Jet Cutting,TRUE
HAI,WJC,Water Jet Cutting,TRUE
JVL,WJC,Water Jet Cutting,TRUE
DAL,WJC,Water Jet Cutting,TRUE
PHI,WJC,Water Jet Cutting,TRUE
TOR,WJC,Water Jet Cutting,TRUE
WIN,WJC,Water Jet Cutting,TRUE
SGP,WJC,Water Jet Cutting,TRUE
MXQ,WJC,Water Jet Cutting,TRUE
MTY,WJC,Water Jet Cutting,TRUE
MXM,WJC,Water Jet Cutting,TRUE
MCH,WJC,Water Jet Cutting,TRUE
ASC,WJC,Water Jet Cutting,TRUE
ADC,WJC,Water Jet Cutting,TRUE
ATL,WJC,Water Jet Cutting,TRUE
WIE,WJC,Water Jet Cutting,TRUE
ENA,WJC,Water Jet Cutting,TRUE
ENT,WJC,Water Jet Cutting,TRUE
LOS,XFER,Internal Order Task,FALSE
STO,XFER,Internal Order Task,FALSE
CHA,XFER,Internal Order Task,FALSE
CLE,XFER,Internal Order Task,FALSE
HAI,XFER,Internal Order Task,TRUE
JVL,XFER,Internal Order Task,FALSE
DAL,XFER,Internal Order Task,FALSE
PHI,XFER,Internal Order Task,FALSE
TOR,XFER,Internal Order Task,FALSE
WIN,XFER,Internal Order Task,FALSE
SGP,XFER,Internal Order Task,FALSE
MXQ,XFER,Internal Order Task,FALSE
MTY,XFER,Internal Order Task,FALSE
MXM,XFER,Internal Order Task,FALSE
MCH,XFER,Internal Order Task,FALSE
ASC,XFER,Internal Order Task,FALSE
ADC,XFER,Internal Order Task,FALSE
ATL,XFER,Internal Order Task,FALSE
WIE,XFER,Internal Order Task,FALSE
ENA,XFER,Internal Order Task,FALSE
ENT,XFER,Internal Order Task,FALSE
LOS,ANN,Annealing,FALSE
STO,ANN,Annealing,FALSE
CHA,ANN,Annealing,FALSE
CLE,ANN,Annealing,FALSE
HAI,ANN,Annealing,TRUE
JVL,ANN,Annealing,FALSE
DAL,ANN,Annealing,FALSE
PHI,ANN,Annealing,FALSE
TOR,ANN,Annealing,FALSE
WIN,ANN,Annealing,FALSE
SGP,ANN,Annealing,FALSE
MXQ,ANN,Annealing,FALSE
MTY,ANN,Annealing,FALSE
MXM,ANN,Annealing,FALSE
MCH,ANN,Annealing,FALSE
ASC,ANN,Annealing,FALSE
ADC,ANN,Annealing,FALSE
ATL,ANN,Annealing,FALSE
WIE,ANN,Annealing,FALSE
ENA,ANN,Annealing,FALSE
ENT,ANN,Annealing,FALSE
LOS,ANN1,Annealing,FALSE
STO,ANN1,Annealing,FALSE
CHA,ANN1,Annealing,FALSE
CLE,ANN1,Annealing,FALSE
HAI,ANN1,Annealing,TRUE
JVL,ANN1,Annealing,FALSE
DAL,ANN1,Annealing,FALSE
PHI,ANN1,Annealing,FALSE
TOR,ANN1,Annealing,FALSE
WIN,ANN1,Annealing,FALSE
SGP,ANN1,Annealing,FALSE
MXQ,ANN1,Annealing,FALSE
MTY,ANN1,Annealing,FALSE
