item,wpl_uom,wpl
376,LBS_PER_FT,6.471
379,LBS_PER_FT,7.765
386,LBS_PER_FT,12.97
396,LBS_PER_FT,1.717
399,LBS_PER_FT,2.151
402,LBS_PER_FT,2.576
405,LBS_PER_FT,3.01
406,LBS_PER_FT,3.434
407,LBS_PER_SFT,36.9792
408,LBS_PER_FT,3.868
411,LBS_PER_FT,4.293
413,LBS_PER_FT,4.293
415,LBS_PER_FT,5.151
416,LBS_PER_FT,5.151
418,LBS_PER_FT,6.04
419,LBS_PER_FT,6.902
420,LBS_PER_FT,22.07
424,LBS_PER_FT,8.628
426,LBS_PER_FT,10.353
428,LBS_PER_FT,12.079
429,LBS_PER_FT,13.804
433,LBS_PER_FT,2.687
435,LBS_PER_SFT,14.6483
436,LBS_PER_FT,3.222
441,LBS_PER_SFT,4.5652
442,LBS_PER_FT,4.671
443,LBS_PER_FT,5.366
447,LBS_PER_FT,6.439
451,LBS_PER_FT,7.55
453,LBS_PER_FT,8.628
455,LBS_PER_FT,9.706
458,LBS_PER_SFT,22.4873
460,LBS_PER_FT,12.941
463,LBS_PER_SFT,67.6236
466,LBS_PER_FT,3.222
467,LBS_PER_FT,3.868
470,LBS_PER_SFT,89.6556
471,LBS_PER_FT,5.151
472,LBS_PER_FT,5.151
473,LBS_PER_FT,5.797
474,LBS_PER_FT,6.444
477,LBS_PER_FT,7.727
480,LBS_PER_FT,9.059
481,LBS_PER_FT,10.353
484,LBS_PER_FT,18.4
486,LBS_PER_FT,12.941
490,LBS_PER_FT,15.53
492,LBS_PER_FT,18.118
493,LBS_PER_FT,20.706
499,LBS_PER_FT,21.338
505,LBS_PER_FT,0.529
511,LBS_PER_SFT,7.752
517,LBS_PER_FT,6.01
522,LBS_PER_SFT,7.752
524,LBS_PER_SFT,7.752
534,LBS_PER_FT,156.5
537,LBS_PER_FT,11.375
564,LBS_PER_FT,10.302
604,LBS_PER_FT,55.216
607,LBS_PER_FT,34.51
613,LBS_PER_FT,51.765
618,LBS_PER_SFT,11.162
642,LBS_PER_SFT,11.162
645,LBS_PER_SFT,16.496
649,LBS_PER_SFT,21.663
655,LBS_PER_SFT,26.831
660,LBS_PER_SFT,32.123
661,LBS_PER_SFT,42.665
662,LBS_PER_SFT,11.162
663,LBS_PER_SFT,16.496
664,LBS_PER_SFT,21.663
665,LBS_PER_SFT,26.831
666,LBS_PER_SFT,32.123
668,LBS_PER_SFT,42.665
687,LBS_PER_FT,12.78
689,LBS_PER_FT,390.298
699,LBS_PER_FT,90.984
704,LBS_PER_FT,390.298
707,LBS_PER_FT,0.042
709,LBS_PER_FT,0.042
710,LBS_PER_FT,0.042
712,LBS_PER_FT,0.065
713,LBS_PER_FT,0.065
714,LBS_PER_FT,0.094
715,LBS_PER_FT,0.094
716,LBS_PER_FT,0.094
718,LBS_PER_FT,0.094
720,LBS_PER_FT,0.128
721,LBS_PER_FT,0.167
722,LBS_PER_FT,0.167
723,LBS_PER_FT,0.167
724,LBS_PER_FT,0.167
725,LBS_PER_FT,0.167
726,LBS_PER_FT,0.167
727,LBS_PER_FT,0.167
732,LBS_PER_FT,0.211
733,LBS_PER_FT,0.261
734,LBS_PER_FT,0.261
736,LBS_PER_FT,0.261
737,LBS_PER_FT,0.261
739,LBS_PER_FT,0.261
740,LBS_PER_FT,0.261
741,LBS_PER_FT,0.261
746,LBS_PER_FT,0.316
747,LBS_PER_FT,0.316
748,LBS_PER_FT,0.376
749,LBS_PER_FT,0.376
750,LBS_PER_FT,0.376
751,LBS_PER_FT,0.376
752,LBS_PER_FT,0.376
753,LBS_PER_FT,0.376
754,LBS_PER_FT,0.376
755,LBS_PER_FT,0.376
756,LBS_PER_FT,0.376
